List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
EBNF|_$^../concepts/ebnf.html|_$^ebnf|_$^1
Closure Templates|_$^../concepts/closure-templates.html|_$^soy|_$^1
Gnuplot|_$^../concepts/gnuplot.html|_$^gp gnu gnuplot p plot plt|_$^6
B|_$^../concepts/b.html|_$^b|_$^1
Shen|_$^../concepts/shen.html|_$^shen|_$^1
ATS|_$^../concepts/ats.html|_$^dats hats sats|_$^3
Vim script|_$^../concepts/vim-script.html|_$^vim vba vimrc vmb .vimrc .exrc .gvimrc _vimrc _exrc _gvimrc gvimrc|_$^11
Djot|_$^../concepts/djot.html|_$^dj|_$^1
Fancy|_$^../concepts/fancy.html|_$^fy fancypack|_$^2
Dale|_$^../concepts/dale.html|_$^dt|_$^1
Veryl|_$^../concepts/veryl.html|_$^veryl|_$^1
LiveScript|_$^../concepts/livescript.html|_$^ls _ls|_$^2
Xtend|_$^../concepts/xtend.html|_$^xtend|_$^1
Io|_$^../concepts/io.html|_$^io|_$^1
CLIPS|_$^../concepts/clips.html|_$^clp|_$^1
JFlex|_$^../concepts/jflex.html|_$^flex jflex|_$^2
Latte|_$^../concepts/latte.html|_$^latte|_$^1
Isabelle|_$^../concepts/isabelle.html|_$^ROOT thy|_$^2
Fantom|_$^../concepts/fantom.html|_$^fan|_$^1
Xtext|_$^../concepts/xtext.html|_$^xtext|_$^1
Pike|_$^../concepts/pike.html|_$^pike pmod|_$^2
vdscript|_$^../concepts/vdscript.html|_$^VirtualDub.jobs|_$^1
LFE|_$^../concepts/lfe.html|_$^lfe hrl|_$^2
NSIS|_$^../concepts/nsis.html|_$^nsi nsh|_$^2
groff|_$^../concepts/groff.html|_$^[1-9] man 1p 3pm|_$^4
Arc|_$^../concepts/arc.html|_$^arc|_$^1
Stylus|_$^../concepts/stylus.html|_$^styl|_$^1
NCAR Command Language|_$^../concepts/ncl.html|_$^ncl|_$^1
Befunge|_$^../concepts/befunge.html|_$^befunge|_$^1
NewLisp|_$^../concepts/newlisp.html|_$^nl lisp lsp kif|_$^4
IcedCoffeeScript|_$^../concepts/icedcoffeescript.html|_$^coffee|_$^1
Object Pascal|_$^../concepts/object-pascal.html|_$^p pp pas|_$^3
Metal|_$^../concepts/metal.html|_$^metal|_$^1
G-code|_$^../concepts/g-code.html|_$^g cnc gco gcode mpt mpf nc|_$^7
Org|_$^../concepts/org.html|_$^org|_$^1
X10|_$^../concepts/x10.html|_$^x10|_$^1
SourcePawn|_$^../concepts/sourcepawn.html|_$^sp inc|_$^2
contracts.coffee|_$^../concepts/contracts.coffee.html|_$^coffee|_$^1
Inform|_$^../concepts/inform.html|_$^ni i7x|_$^2
BlackCoffee|_$^../concepts/blackcoffee.html|_$^coffee|_$^1
PAWN|_$^../concepts/pawn.html|_$^pwn inc|_$^2
PL/pgSQL|_$^../concepts/plpgsql.html|_$^pgsql sql|_$^2
OpenSCAD|_$^../concepts/openscad.html|_$^scad|_$^1
Logtalk|_$^../concepts/logtalk.html|_$^lgt logtalk|_$^2
Turing|_$^../concepts/turing.html|_$^t tu|_$^2
FlatBuffers|_$^../concepts/flatbuffers.html|_$^fbs|_$^1
Lasso|_$^../concepts/lasso.html|_$^lasso LassoApp las lasso8 lasso9 lasso[89]|_$^6
Icon|_$^../concepts/icon.html|_$^icon ICON|_$^2
Dockerfile|_$^../concepts/dockerfile.html|_$^Dockerfile dockerfile|_$^2
BlitzMax|_$^../concepts/blitzmax.html|_$^bmx|_$^1
Textile|_$^../concepts/textile.html|_$^textile|_$^1
LilyPond|_$^../concepts/lilypond.html|_$^ly ily|_$^2
Whiley|_$^../concepts/whiley.html|_$^whiley|_$^1
Csound|_$^../concepts/csound.html|_$^csd sco orc udo|_$^4
clay|_$^../concepts/clay.html|_$^clay|_$^1
E|_$^../concepts/e.html|_$^e|_$^1
P4|_$^../concepts/p4.html|_$^p4|_$^1
PureBasic|_$^../concepts/purebasic.html|_$^pb pbi|_$^2
Papyrus|_$^../concepts/papyrus.html|_$^psc|_$^1
